clubName,courtNumber,date,startHour,startTime,endTime,bookable,courtBookingLink,location
"UE Tennis","Court 3","2025-07-22","16:00","16:45","17:45","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-22","18:00","18:00","19:00","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-22","19:00","19:15","20:15","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","08:00","08:00","09:00","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","09:00","09:15","10:15","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","10:00","10:30","11:30","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","11:00","11:45","12:45","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","13:00","13:00","14:00","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","14:00","14:15","15:15","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","15:00","15:30","16:30","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","16:00","16:45","17:45","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","18:00","18:00","19:00","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 3","2025-07-23","19:00","19:15","20:15","0","http://www.uetennis.com/booking-calendar/court-3?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-16","08:00","08:00","09:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-16","09:00","09:15","10:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-16","11:00","11:45","12:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-16","13:00","13:00","14:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-16","14:00","14:15","15:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-16","15:00","15:30","16:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-16","16:00","16:45","17:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-16","18:00","18:00","19:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-17","12:00","12:15","13:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-17","15:00","15:00","16:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-17","16:00","16:15","17:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-17","17:00","17:30","18:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-17","18:00","18:45","19:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-17","20:00","20:00","21:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","08:00","08:00","09:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","09:00","09:15","10:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","10:00","10:30","11:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","11:00","11:45","12:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","15:00","15:30","16:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","16:00","16:45","17:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","18:00","18:00","19:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","19:00","19:15","20:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-18","20:00","20:30","21:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-19","13:00","13:30","14:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-19","14:00","14:45","15:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-19","16:00","16:00","17:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-19","17:00","17:15","18:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-19","18:00","18:30","19:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-19","19:00","19:45","20:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-19","21:00","21:00","22:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","08:00","08:00","09:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","09:00","09:15","10:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","10:00","10:30","11:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","11:00","11:45","12:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","13:00","13:00","14:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","14:00","14:15","15:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","16:00","16:45","17:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","18:00","18:00","19:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-20","19:00","19:15","20:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-21","08:00","08:00","09:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-21","09:00","09:15","10:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-21","10:00","10:30","11:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-21","11:00","11:45","12:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-21","13:00","13:00","14:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-21","14:00","14:15","15:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-21","17:00","17:45","18:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-21","19:00","19:00","20:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","08:00","08:00","09:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","09:00","09:15","10:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","10:00","10:30","11:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","11:00","11:45","12:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","13:00","13:00","14:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","14:00","14:15","15:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","15:00","15:30","16:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","16:00","16:45","17:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","18:00","18:00","19:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-22","19:00","19:15","20:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","08:00","08:00","09:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","09:00","09:15","10:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","10:00","10:30","11:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","11:00","11:45","12:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","13:00","13:00","14:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","14:00","14:15","15:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","15:00","15:30","16:30","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","16:00","16:45","17:45","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","18:00","18:00","19:00","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"UE Tennis","Court 5","2025-07-23","19:00","19:15","20:15","0","http://www.uetennis.com/booking-calendar/court-5?referral=service_list_widget","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-15","06:00","06:30","08:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-15","09:00","09:00","10:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-15","13:00","13:00","14:30","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-16","06:00","06:30","07:30","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-16","08:00","08:30","10:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-17","06:00","06:30","08:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-17","09:00","09:00","10:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-17","14:00","14:00","14:30","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-18","06:00","06:30","10:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-18","22:00","22:00","23:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-19","07:00","07:30","08:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-20","07:00","07:30","08:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-21","06:00","06:30","08:00","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
"Tennis BC Hub @ Richmond","Bubble Court 1","2025-07-21","13:00","13:30","14:30","0","https://clubspark.ca/TBCHubRichmond/Booking/bookbycourt#?startDate=2025-07-15&endDate=2025-07-22&resource=0&&role=guest","Richmond"
